product_id,product_name,brand,category_id,seller_id,list_price,weight_kg,is_discontinued
P000001,Rivage Gourde Ultra,Rivage,CAT023,S0081,49.91,0.828,false
P000002,Bexon Haltères Compact,Bexon,CAT025,S0088,117.02,1.776,false
P000003,Cirrus Webcam Nomade,Cirrus,CAT010,S0011,89.11,9.632,false
P000004,Lumen Sneakers Nomade,Lumen,CAT016,S0234,55.26,4.449,false
P000005,Ivory Trottinette Pro,Ivory,CAT028,S0425,161.87,11.076,false
P000006,Bexon Chaussures de trail Pro,Bexon,CAT026,S0051,73.25,1.770,false
P000007,Bexon Eau de toilette Essentiel,Bexon,CAT021,S0294,93.37,3.311,false
P000008,Alvora Filtre à air Classic,Alvora,CAT039,S0181,41.35,5.312,false
P000009,Lumen Shampooing Ultra,Lumen,CAT021,S0210,68.46,1.217,true
P000010,Pallas Filtre à air Classic,Pallas,CAT038,S0061,5.40,4.221,false
P000011,Orbit Perceuse Ultra,Orbit,CAT039,S0599,48.28,3.340,true
P000012,Rivage Enceinte Ultra,Rivage,CAT007,S0393,154.89,11.795,false
P000013,Delvia Roman Premium,Delvia,CAT034,S0160,56.27,3.490,false
P000014,Fjord Chargeur Pro,Fjord,CAT007,S0066,158.13,2.706,false
P000015,Rivage Montre connectée Classic,Rivage,CAT008,S0471,40.76,4.670,false
P000016,Granit Puzzle Ultra,Granit,CAT030,S0572,61.67,11.194,false
P000017,Bexon Palette Pro,Bexon,CAT022,S0355,161.65,8.831,false
P000018,Pallas Sac de sport Essentiel,Pallas,CAT025,S0506,48.43,4.194,false
P000019,Bexon Nettoyant jantes Éco,Bexon,CAT038,S0167,249.60,11.912,false
P000020,Granit Arrosoir Classic,Granit,CAT005,S0592,57.18,9.894,false
P000021,Juniper Cube éducatif XL,Juniper,CAT031,S0326,28.26,9.837,false
P000022,Bexon Écharpe Ultra,Bexon,CAT017,S0310,112.36,0.635,false
P000023,Alvora Montre XL,Alvora,CAT016,S0081,53.03,7.583,false
P000024,Windrow Cube éducatif Ultra,Windrow,CAT030,S0427,19.82,5.954,false
P000025,Orbit Cube éducatif Pro,Orbit,CAT028,S0260,186.42,6.877,true
P000026,Kestrel Roman Signature,Kestrel,CAT032,S0586,27.93,10.795,true
P000027,Terra Ceinture Compact,Terra,CAT017,S0469,203.23,6.836,false
P000028,Windrow Puzzle Compact,Windrow,CAT029,S0498,174.94,11.432,false
P000029,Orbit Chemise XL,Orbit,CAT016,S0370,80.05,0.077,false
P000030,Orbit Bouilloire Premium,Orbit,CAT003,S0565,37.18,5.200,false
P000031,Ivory Jeu de plateau Premium,Ivory,CAT030,S0480,92.27,7.917,false
